Name,Country,Age,"Height, cm",Weight,Sex,Date of birth,Place of birth,Gold,Silver,Bronze,Total,Sport,Event
Alan Gogaev,Russian Federation,22,170.0,66.0,M,3/8/1990,DIGORA (RUS),0,0,0,0,Wrestling,Men's 66kg Freestyle
Maiko Gogoladze,Georgia,20,166.0,58.0,F,9/9/1991,RUSSIA (RUS),0,0,0,0,Athletics,Women's Long Jump
George Gogshelidze,Georgia,32,185.0,96.0,M,11/7/1979,GORI (GEO),0,0,0,0,Wrestling,Men's 96kg Freestyle
Liu Ying Goh,Malaysia,23,166.0,50.0,F,5/30/1989,MELAKA,0,0,0,0,Badminton,Mixed Doubles
Vladimir Gojkovic,Montenegro,31,188.0,92.0,M,1/29/1981,KOTOR (MNE),0,0,0,0,Water Polo,Men's Water Polo
Michal Golas,Poland,28,180.0,65.0,M,4/29/1984,Torun (POL),0,0,0,0,Cycling - Road,Men's Road Race
Anders Golding,Denmark,28,186.0,95.0,M,5/12/1984,Aalborg (DEN),0,1,0,1,Shooting,Men's Skeet
Olga Golovkina,Russian Federation,25,170.0,50.0,F,12/17/1986,Perm Region (RUS),0,0,0,0,Athletics,Women's 5000m
Franziska Goltz,Germany,27,168.0,68.0,F,2/19/1985,Schwerin (GER),0,0,0,0,Sailing,Women's Laser Radial
Inaki Gomez,Canada,24,172.0,60.0,M,1/16/1988,Mexico City (MEX),0,0,0,0,Athletics,Men's 20km Race Walk
Javier Gomez,Spain,29,178.0,69.0,M,3/25/1983,BASILEA (SUI),0,0,0,0,Triathlon,Men's Triathlon
Beatriz Gomez Cortes,Spain,17,169.0,61.0,F,12/29/1994,PONTEVEDRA (ESP),0,0,0,0,Swimming,Women's 200m Individual Medley
Franklin Gomez Matos,Puerto Rico,25,170.0,66.0,M,8/5/1986,PUERTO PLATA (DOM),0,0,0,0,Wrestling,Men's 60kg Freestyle
Alejandro Gomez Perez,Venezuela,27,184.0,77.0,M,4/22/1985,Caracas (VEN),0,0,0,0,Swimming,Men's 1500m Freestyle
Rita Goncalves,Portugal,31,165.0,65.0,F,4/17/1981,Lisboa (POR),0,0,0,0,Sailing,Women's Elliott 6m
Nataliya Goncharova,Russian Federation,23,194.0,75.0,F,6/1/1989,LVOV REGION (RUS),0,0,0,0,Volleyball,Women's Volleyball
Jozef Gonci,Slovakia,38,186.0,85.0,M,3/18/1974,Kosice (SVK),0,0,0,0,Shooting,"Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
Flora Gondos,Hungary,20,158.0,48.0,F,4/11/1992,BECS (HUN),0,0,0,0,Diving,Women's 3m Springboard
Jinjie Gong,People's Republic of China,25,165.0,65.0,F,11/12/1986,Jilin (CHN),0,1,0,1,Cycling - Track,Women's Team Sprint
Lei Gong,People's Republic of China,29,185.0,88.0,M,3/26/1983,Shandong (CHN),0,0,0,0,Sailing,Men's Finn
Lijiao Gong,People's Republic of China,23,175.0,108.0,F,1/24/1989,Hebei (CHN),0,0,0,0,Athletics,Women's Shot Put
Roman Gontiuk,Ukraine,28,178.0,90.0,M,2/2/1984,Ivano,0,0,0,0,Judo,Men's -90kg
Jermaine Gonzales,Jamaica,27,191.0,87.0,M,11/26/1984,St Catherine (JAM),0,0,0,0,Athletics,"Men's 400m, Men's 4 x 400m Relay"
Alexis Gonzalez,Argentina,31,184.0,83.0,M,7/21/1981,Buenos Aires (ARG),0,0,0,0,Volleyball,Men's Volleyball
Angie Gonzalez,Venezuela,31,158.0,60.0,F,1/3/1981,LA VICTORIA (VEN),0,0,0,0,"Cycling - Road, Cycling - Track",Women's Omnium
Melissa Gonzalez,United States of America,23,163.0,59.0,F,1/24/1989,Peekskill (USA),0,0,0,0,Hockey,Women's Hockey
Norma Gonzalez,Colombia,29,175.0,58.0,F,8/11/1982,SANTANDER DE QUILICHAO (COL),0,0,0,0,Athletics,"Women's 200m, Women's 4 x 100m Relay"
Diego Gonzalez Parro,Chile,24,180.0,72.0,M,9/24/1987,Santiago (CHI),0,0,0,0,Sailing,Men's 470
Maria Fernanda Gonzalez Ramirez,Mexico,22,175.0,60.0,F,4/25/1990,Mexico D.F. (MEX),0,0,0,0,Swimming,"Women's 100m Backstroke, Women's 200m Backstroke"
Paul Goodison,Great Britain,34,180.0,82.0,M,11/29/1977,Sheffield (GBR),0,0,0,0,Sailing,Men's Laser
Marquise Goodwin,United States of America,21,178.0,82.0,M,11/19/1990,Austin (USA),0,0,0,0,Athletics,Men's Long Jump
Irina Gordeeva,Russian Federation,25,185.0,55.0,F,10/9/1986,Leningrad (RUS),0,0,0,0,Athletics,Women's High Jump
Jehue Gordon,Trinidad and Tobago,20,188.0,81.0,M,12/15/1991,Port of Spain (TRI),0,0,0,0,Athletics,Men's 400m Hurdles
Lalonde Gordon,Trinidad and Tobago,23,179.0,83.0,M,11/25/1988,LOWLANDS (TRI),0,0,0,0,Athletics,"Men's 400m, Men's 4 x 400m Relay"
Winston Gordon,Great Britain,35,187.0,90.0,M,11/9/1976,London (GBR),0,0,0,0,Judo,Men's -90kg
Giulia Gorlero,Italy,21,178.0,69.0,F,9/26/1990,Imperia (ITA),0,0,0,0,Water Polo,Women's Water Polo
Melissa Gorman,Australia,26,180.0,67.0,F,12/11/1985,Sydney (AUS),0,0,0,0,Swimming,Women's 10km Marathon
Sergey Gorovoy,Kazakhstan,36,192.0,105.0,M,8/6/1975,Shymkent (KAZ),0,0,0,0,Water Polo,Men's Water Polo
Petar Gorsa,Croatia,24,180.0,72.0,M,1/11/1988,BJELOVAR (CRO),0,0,0,0,Shooting,Men's 10m Air Rifle
Oleksandr Gorshkovozov,Ukraine,21,170.0,66.0,M,7/18/1991,LUGANSK (UKR),0,0,0,0,Diving,Men's Synchronised 10m Platform
Magdalena Gorzkowska,Poland,20,174.0,59.0,F,4/30/1992,Bytom (POL),0,0,0,0,Athletics,Women's 4 x 400m Relay
Matthew Harley Goss,Australia,25,179.0,73.0,M,11/5/1986,LAUNCESTON (AUS),0,0,0,0,Cycling - Road,Men's Road Race
Thomas Gossland,Canada,23,183.0,78.0,M,5/10/1989,Richmond (CAN),0,0,0,0,Swimming,Men's 4x100m Freestyle Relay
Kara Goucher,United States of America,34,170.0,56.0,F,7/9/1978,New York City (USA),0,0,0,0,Athletics,Women's Marathon
Sadegh Saeed Goudarzi,Islamic Republic of Iran,24,179.0,74.0,M,9/22/1987,MALAYER (IRI),0,0,0,0,Wrestling,Men's 74kg Freestyle
Westley Gough,New Zealand,24,185.0,75.0,M,5/4/1988,Hastings (NZL),0,0,0,0,Cycling - Track,Men's Team Pursuit
Georgia Gould,United States of America,32,175.0,61.0,F,1/5/1980,Baltimore (USA),0,0,0,0,Cycling - Mountain Bike,Women's Cross-country
Zakari Gourouza,Niger,30,175.0,60.0,M,6/8/1982,DOSSO (NIG),0,0,0,0,Judo,Men's -60kg
Nastja Govejsek,Slovenia,15,170.0,55.0,F,7/15/1997,Celje (SLO),0,0,0,0,Swimming,Women's 100m Freestyle
Andrii Govorov,Ukraine,20,190.0,90.0,M,4/10/1992,Simferopol (UKR),0,0,0,0,Swimming,Men's 50m Freestyle
Robert Grabarz,Great Britain,24,191.0,80.0,M,10/3/1987,Enfield (GBR),0,0,0,0,Athletics,Men's High Jump
Federico Grabich,Argentina,22,193.0,92.0,M,3/26/1990,ROSARIO,0,0,0,0,Swimming,"Men's 50m Freestyle, Men's 100m Backstroke"
Bert Grabsch,Germany,37,179.0,79.0,M,6/19/1975,WITTENBERG (GER),0,0,0,0,Cycling - Road,"Men's Individual Time Trial, Men's Road Race"
Aiga Grabuste,Latvia,24,178.0,55.0,F,3/24/1988,Rezekne (LAT),0,0,0,0,Athletics,Women's Heptathlon
Cyril Graff,France,31,168.0,65.0,M,9/11/1980,NANCY (FRA),0,0,0,0,Shooting,"Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
Keitani Graham,Federated States of Micronesia,32,173.0,84.0,M,2/1/1980,HAWAII (USA),0,0,0,0,Wrestling,Men's 84kg Greco-Roman
Crisanto Grajales,Mexico,25,166.0,60.0,M,5/6/1987,VERACRUZ (MEX),0,0,0,0,Triathlon,Men's Triathlon
Tina Gramkov,Denmark,41,171.0,65.0,F,11/12/1970,VIRUM (DEN),0,0,0,0,Sailing,Women's Elliott 6m
Iria Grandal,Spain,21,161.0,55.0,F,8/13/1990,A CORUNA,0,0,0,0,Archery,Women's Individual
Yoris Grandjean,Belgium,23,186.0,82.0,M,3/20/1989,Liege (BEL),0,0,0,0,Swimming,Men's 4x200m Freestyle Relay
Lara Grangeon,France,20,172.0,60.0,F,9/21/1991,NOUMEA (FRA),0,0,0,0,Swimming,Women's 400m Individual Medley
Sergey Grankin,Russian Federation,27,195.0,98.0,M,1/21/1985,STAVROPOL REGION (RUS),0,0,0,0,Volleyball,Men's Volleyball
Martina Granstrom,Sweden,20,178.0,73.0,F,8/5/1991,GOTTSUNDA (SWE),0,0,0,0,Swimming,"Women's 100m Butterfly, Women's 200m Butterfly, Women's 4x100m Medley Relay"
Andrew Grant,Australia,27,207.0,98.0,M,4/22/1985,Maryborough (AUS),0,0,0,0,Volleyball,Men's Volleyball
Nicoleta Grasu,Romania,40,176.0,98.0,F,9/11/1971,Secuieni (ROU),0,0,0,0,Athletics,Women's Discus Throw
Jamie Lynn Gray,United States of America,28,157.0,54.0,F,5/26/1984,Lebanon (USA),0,0,0,0,Shooting,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
Latoya Greaves,Jamaica,26,170.0,62.0,F,5/31/1986,Kingston (JAM),0,0,0,0,Athletics,Women's 100m Hurdles
Andrey Grechin,Russian Federation,24,198.0,94.0,M,10/21/1987,BARNAUL (RUS),0,0,1,1,Swimming,"Men's 50m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x100m Medley Relay"
Elizaveta Grechishnikova,Russian Federation,28,168.0,50.0,F,12/12/1983,Bashkortostan (RUS),0,0,0,0,Athletics,"Women's 10,000m"
Jean Greeff,South Africa,22,181.0,94.0,M,4/17/1990,Johannesburg (RSA),0,0,0,0,Weightlifting,Men's 94kg
Jack Green,Great Britain,20,194.0,80.0,M,10/6/1991,Maidstone (GBR),0,0,0,0,Athletics,Men's 400m Hurdles
Leford Green,Jamaica,25,191.0,91.0,M,11/14/1986,St Mary (JAM),0,0,0,0,Athletics,Men's 400m Hurdles
Emma Green Tregaro,Sweden,27,180.0,63.0,F,12/8/1984,Bergsjön (SWE),0,0,0,0,Athletics,Women's High Jump
David Greene,Great Britain,26,185.0,78.0,M,4/11/1986,CARMARTHEN (GBR),0,0,0,0,Athletics,Men's 400m Hurdles
Ryan Gregson,Australia,22,184.0,73.0,M,4/26/1990,Mount Warrigal (AUS),0,0,0,0,Athletics,Men's 1500m
Andre Greipel,Germany,30,184.0,82.0,M,7/16/1982,Rostock (GER),0,0,0,0,Cycling - Road,Men's Road Race
Evdokia Gretchichnikova,Russian Federation,29,167.0,57.0,F,12/9/1982,Ufa (RUS),0,0,0,0,Modern Pentathlon,Women's Modern Pentathlon
Matthew Grevers,United States of America,27,203.0,104.0,M,3/26/1985,Lake Forest (USA),1,1,0,2,Swimming,"Men's 100m Backstroke, Men's 4x100m Freestyle Relay, Men's 4x100m Medley Relay"
Benjamin Grez Ahrens,Chile,19,177.0,66.0,M,12/3/1992,Santiago (CHI),0,0,0,0,Sailing,Men's 470
Colin Griffin,Ireland,30,185.0,71.0,M,8/3/1982,BALLINAMORE (IRL),0,0,0,0,Athletics,Men's 50km Race Walk
Sam Griffiths,Australia,40,172.0,68.0,M,5/27/1972,Melbourne (AUS),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, HAPPY TIMES"
Larisa Griga,Ukraine,28,171.0,65.0,F,5/31/1984,Dnepropetrovsk,0,0,0,0,Badminton,Women's Singles
Aristeidis Grigoriadis,Greece,26,196.0,76.0,M,12/6/1985,Thessaloniki (GRE),0,0,0,0,Swimming,Men's 100m Backstroke
Anastasija Grigorjeva,Latvia,22,169.0,62.0,F,5/12/1990,Daugavpils (LAT),0,0,0,0,Wrestling,Women's 63kg Freestyle
Santiago Grillo,Colombia,25,183.0,73.0,M,5/27/1987,CALI,0,0,0,0,Sailing,Men's RS-X
Martina Grimaldi,Italy,23,172.0,65.0,F,9/28/1988,Bologna (ITA),0,0,0,0,Swimming,Women's 10km Marathon
Torben Grimmel,Denmark,36,182.0,84.0,M,11/23/1975,ODDER (DEN),0,0,0,0,Shooting,Men's 50m Rifle Prone
Lina Grincikaite,Lithuania,25,167.0,63.0,F,5/3/1987,Klaipeda (LTU),0,0,0,0,Athletics,Women's 100m
Lauma Griva,Latvia,27,181.0,62.0,F,10/27/1984,Ventspils (LAT),0,0,0,0,Athletics,Women's Long Jump
Andriy Grivko,Ukraine,28,180.0,73.0,M,8/7/1983,Simferopol (UKR),0,0,0,0,Cycling - Road,Men's Road Race
Renee Groeneveld,Netherlands,25,167.0,62.0,F,9/21/1986,Haarlem (NED),0,0,0,0,Sailing,Women's Elliott 6m
Sarah Groff,United States of America,30,170.0,60.0,F,11/27/1981,Hanover (USA),0,0,0,0,Triathlon,Women's Triathlon
Henk Grol,Netherlands,27,190.0,100.0,M,4/14/1985,WINSCHOTEN (NED),0,0,1,1,Judo,Men's -100kg
Maria Gromova,Russian Federation,24,170.0,62.0,F,2/28/1988,Moscow (RUS),0,0,0,0,Swimming,Women's 4x100m Medley Relay
Sergey Gubarev,Kazakhstan,33,183.0,93.0,M,10/30/1978,Bishkek (KGZ),0,0,0,0,Water Polo,Men's Water Polo
Tatiana Guderzo,Italy,27,160.0,52.0,F,8/22/1984,MAROSTICA (ITA),0,0,0,0,Cycling - Road,"Women's Individual Time Trial, Women's Road Race"
Daina Gudzineviciute,Lithuania,46,178.0,80.0,F,12/23/1965,Vilnius (LTU),0,0,0,0,Shooting,Women's Trap
Javier Guedez,Venezuela,29,160.0,60.0,M,10/15/1982,ESTADO SUCRE (VEN),0,0,0,0,Judo,Men's -60kg
Antoinette Guedia Mouafo,Cameroon,16,170.0,55.0,F,10/21/1995,Douala (CMR),0,0,0,0,Swimming,Women's 50m Freestyle
Floria Guei,France,22,166.0,52.0,F,5/2/1990,Nantes (FRA),0,0,0,0,Athletics,Women's 4 x 400m Relay
Christophe Guenot,France,33,178.0,74.0,M,1/7/1979,SAINT,0,0,0,0,Wrestling,Men's 74kg Greco-Roman
Steeve Guenot,France,26,172.0,66.0,M,10/2/1985,CHALON,0,0,0,0,Wrestling,Men's 66kg Greco-Roman
Steve Guerdat,Switzerland,30,182.0,68.0,M,6/10/1982,BASSECOURT (SUI),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, NINO DES BUISSONNETS"
Rabiou Guero Gao,Niger,24,170.0,58.0,M,2/1/1988,SAOURIN DOUTOU/DOSSO (NIG),0,0,0,0,Athletics,Men's 1500m
Ndiatte Gueye,Senegal,27,185.0,75.0,M,1/19/1985,Dakar (SEN),0,0,0,0,Canoe Sprint,"Men's Canoe Single (C1) 1000m, Men's Canoe Single (C1) 200m"
Anatolie Ilarionovitch Guidea,Bulgaria,35,165.0,60.0,M,1/21/1977,VARZARESHTE (MDA),0,0,0,0,Wrestling,Men's 60kg Freestyle
Emanuele Guidi,San Marino,42,175.0,80.0,M,9/16/1969,San Marino,0,0,0,0,Archery,Men's Individual
Leandro Guilheiro,Brazil,28,176.0,81.0,M,8/7/1983,SUZANO (BRA),0,0,0,0,Judo,Men's -81kg
Olivier Guillon,France,40,182.0,75.0,M,5/22/1972,Vernon (FRA),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, LORD DE THEIZE"
Lenora Guion-Firmin,France,20,172.0,60.0,F,8/7/1991,LA TRINITE (FRA),0,0,0,0,Athletics,Women's 4 x 400m Relay
Rattikan Gulnoi,Thailand,19,155.0,58.0,F,7/17/1993,BANGKOK,0,0,0,0,Weightlifting,Women's 58kg
Esra Gumus,Turkey,29,181.0,75.0,F,10/2/1982,Ankara (TUR),0,0,0,0,Volleyball,Women's Volleyball
Tony Gunawan,United States of America,37,173.0,73.0,M,4/9/1975,SURABAYA,0,0,0,0,Badminton,Men's Doubles
Dilara Buse Gunaydin,Turkey,23,168.0,58.0,F,7/5/1989,Istanbul (TUR),0,0,0,0,Swimming,"Women's 100m Breaststroke, Women's 200m Breaststroke"
Loes Gunnewijk,Netherlands,31,178.0,67.0,F,11/27/1980,GROENLO (NED),0,0,0,0,Cycling - Road,Women's Road Race
Ella Gunson,New Zealand,23,162.0,62.0,F,7/9/1989,Whangarei (NZL),0,0,0,0,Hockey,Women's Hockey
Leena Gunther,Germany,21,163.0,53.0,F,4/16/1991,Koln (GER),0,0,0,0,Athletics,Women's 4 x 100m Relay
Allan Gutierrez Castro,Honduras,18,160.0,50.0,M,8/12/1993,San Pedro Sula (HON),0,0,0,0,Swimming,Men's 400m Freestyle
Lionel Guyon,France,44,175.0,60.0,M,6/5/1968,ST,0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, NEMETIS DE LALOU"
Michela Guzzetti,Italy,20,173.0,59.0,F,4/29/1992,TRADATE (ITA),0,0,0,0,Swimming,"Women's 100m Breaststroke, Women's 4x100m Medley Relay"
Edwige Gwend,Italy,22,164.0,63.0,F,3/11/1990,EDEA (CMR),0,0,0,0,Judo,Women's -63kg
Mathias Gydesen,Denmark,23,182.0,78.0,M,8/24/1988,ALLEROD (DEN),0,0,0,0,Swimming,Men's 100m Backstroke
Kate Gynther,Australia,30,175.0,73.0,F,7/5/1982,Brisbane (AUS),0,0,0,0,Water Polo,Women's Water Polo
Spas Gyurov,Bulgaria,26,184.0,75.0,M,2/7/1986,PAZARDZHIK (BUL),0,0,0,0,Cycling - Road,Men's Road Race
Daniel Gyurta,Hungary,23,185.0,77.0,M,5/4/1989,Budapest (HUN),1,0,0,1,Swimming,"Men's 100m Breaststroke, Men's 200m Breaststroke, Men's 4x100m Medley Relay"
Gergely Gyurta,Hungary,20,174.0,68.0,M,9/12/1991,Budapest (HUN),0,0,0,0,Swimming,Men's 1500m Freestyle
Gabor Hatos,Hungary,28,170.0,74.0,M,10/3/1983,Eger (HUN),0,0,0,0,Wrestling,Men's 74kg Freestyle
Ganna Dzerkal,Ukraine,24,171.0,62.0,F,8/18/1987,YUZHNOUKRAINSK (UKR),0,0,0,0,Swimming,"Women's 200m Breaststroke, Women's 200m Individual Medley, Women's 400m Individual Medley, Women's 4x200m Freestyle Relay"
Gareth Kean,New Zealand,20,194.0,83.0,M,10/5/1991,Wellington (NZL),0,0,0,0,Swimming,"Men's 100m Backstroke, Men's 200m Backstroke, Men's 4x100m Medley Relay"
Gebregziabher Gebremariam,Ethiopia,27,183.0,60.0,M,10/12/1984,Tigray (ETH),0,0,0,0,Athletics,"Men's 10,000m"
Genevieve Lacaze,Australia,22,164.0,53.0,F,8/4/1989,BENOWA (AUS),0,0,0,0,Athletics,Women's 3000m Steeplechase
Georgia Davies,Great Britain,21,175.0,60.0,F,10/11/1990,London (GBR),0,0,0,0,Swimming,"Women's 100m Backstroke, Women's 4x100m Medley Relay"
Georgina Geikie,Great Britain,27,171.0,56.0,F,12/6/1984,OKEHAMPTON (GBR),0,0,0,0,Shooting,"Women's 10m Air Pistol, Women's 25m Pistol"
Gerd Kanter,Estonia,33,196.0,127.0,M,5/6/1979,Tallinn (EST),0,0,0,0,Athletics,Men's Discus Throw
Gevrise Emane,France,30,160.0,63.0,F,7/27/1982,Yaoundé (CMR),0,0,1,1,Judo,Women's -63kg
Ghada Hassine,Tunisia,19,156.0,69.0,F,5/17/1993,SFAX,0,0,0,0,Weightlifting,Women's 69kg
Giacomo Pastorino,Italy,32,191.0,89.0,M,6/7/1980,Savona (ITA),0,0,0,0,Water Polo,Men's Water Polo
Giulia Enrica Emmolo,Italy,20,171.0,66.0,F,10/16/1991,Imperia (ITA),0,0,0,0,Water Polo,Women's Water Polo
Glenn O'shea,Australia,23,180.0,76.0,M,6/14/1989,SWAN HILL (AUS),0,0,0,0,Cycling - Track,"Men's Omnium, Men's Team Pursuit"
Gulden Kayalar Kuzubasioglu,Turkey,31,167.0,58.0,F,12/5/1980,Kütahya (TUR),0,0,0,0,Volleyball,Women's Volleyball
Gulnar Hayytbaeva,Turkmenistan,27,166.0,63.0,F,3/24/1985,LEBAP (TKM),0,0,0,0,Judo,Women's -63kg
Guor Marial,Independent Olympic Athletes,28,180.0,60.0,M,4/15/1984,PANRIENG (SUD),0,0,0,0,Athletics,Men's Marathon
Gustav Larsson,Sweden,31,194.0,80.0,M,9/20/1980,OJA (SWE),0,0,0,0,Cycling - Road,"Men's Individual Time Trial, Men's Road Race"
Gyeong-Mi Jeong,Republic of Korea,27,169.0,78.0,F,7/26/1985,Seoul (KOR),0,0,0,0,Judo,Women's -78kg
Gyorgy Grozer,Germany,27,200.0,104.0,M,11/27/1984,Budapest (HUN),0,0,0,0,Volleyball,Men's Volleyball
Jeemin Ha,Republic of Korea,23,187.0,80.0,M,3/21/1989,Seoul (KOR),0,0,0,0,Sailing,Men's Laser
Joon-Eem Ha,Republic of Korea,22,188.0,73.0,F,12/26/1989,GUMI (KOR),0,0,0,0,Volleyball,Women's Volleyball
Jung Eun Ha,Republic of Korea,25,172.0,63.0,F,4/26/1987,Seoul,0,0,0,0,Badminton,"Women's Doubles, Mixed Doubles"
Alex Haas,Australia,17,171.0,63.0,M,2/11/1995,Brisbane (AUS),0,0,0,0,Canoe Sprint,Men's Canoe Double (C2) 1000m
Mandy Haase,Germany,30,164.0,58.0,F,6/25/1982,Leipzig (GER),0,0,0,0,Hockey,Women's Hockey
Ahmed Habash,Egypt,28,178.0,79.0,M,4/26/1984,GIZA (EGY),0,0,0,0,Sailing,Men's RS-X
Tino Haber,Germany,29,185.0,88.0,M,10/6/1982,Gera (GER),0,0,0,0,Athletics,Men's Javelin Throw
Florencia Habif,Argentina,18,161.0,47.0,F,8/22/1993,Buenos Aires (ARG),0,0,0,0,Hockey,Women's Hockey
Halima Hachlaf,Morocco,23,167.0,56.0,F,9/6/1988,BOUMIA (MAR),0,0,0,0,Athletics,Women's 800m
Hocine Haciane Constantin,Andorra,26,168.0,72.0,M,7/7/1986,Andorra la Vella (AND),0,0,0,0,Swimming,Men's 200m Butterfly
Semoy Hackett,Trinidad and Tobago,23,173.0,61.0,F,11/27/1988,Scarborough (TRI),0,0,0,0,Athletics,"Women's 100m, Women's 200m, Women's 4 x 100m Relay"
Dana Hadacova,Czech Republic,28,174.0,69.0,F,9/3/1983,Hodonín (CZE),0,0,0,0,Table Tennis,Women's Singles
Ehsan Hadadi,Islamic Republic of Iran,27,192.0,110.0,M,1/20/1985,Tehran (IRI),0,0,0,0,Athletics,Men's Discus Throw
Soraya Haddad,Algeria,27,157.0,52.0,F,9/30/1984,BEJAIA (ALG),0,0,0,0,Judo,Women's -52kg
Jayden Hadler,Australia,18,183.0,86.0,M,9/23/1993,JOONDALUP (AUS),0,0,0,0,Swimming,"Men's 100m Butterfly, Men's 200m Individual Medley, Men's 4x100m Medley Relay"
Kerson Hadley,Federated States of Micronesia,23,168.0,68.0,M,5/22/1989,POHNPEI (FSM),0,0,0,0,Swimming,Men's 50m Freestyle
Hussein Hafiz,Egypt,26,165.0,73.0,M,9/5/1985,Cairo (EGY),0,0,0,0,Judo,Men's -73kg
Lubomir Hagara,Slovakia,27,175.0,80.0,M,1/14/1985,Bojnice (SVK),0,0,0,0,Canoe Sprint,Men's Canoe Single (C1) 200m
Alireza Haghi,Islamic Republic of Iran,33,178.0,78.0,M,2/8/1979,SHAHRIAR (IRI),0,0,0,0,Cycling - Road,"Men's Individual Time Trial, Men's Road Race"
Kosuke Hagino,Japan,17,175.0,68.0,M,8/15/1994,Tochigi (JPN),0,0,1,1,Swimming,"Men's 200m Individual Medley, Men's 400m Individual Medley"
Mayuko Hagiwara,Japan,25,168.0,52.0,F,10/16/1986,MAEBASHI (JPN),0,0,0,0,Cycling - Road,Women's Road Race
Lisa Hahn,Germany,22,157.0,57.0,F,9/23/1989,MÖNCHENGLADBACH (GER),0,0,0,0,Hockey,Women's Hockey
Susanne Hahn,Germany,34,169.0,50.0,F,4/23/1978,HILDESHEIM (GER),0,0,0,0,Athletics,Women's Marathon
Ensar Hajder,Bosnia and Herzegovina,21,194.0,91.0,M,6/27/1991,Tuzla (BIH),0,0,0,0,Swimming,Men's 200m Individual Medley
Katja Hajdinjak,Slovenia,19,180.0,66.0,F,1/6/1993,Ljubljana (SLO),0,0,0,0,Swimming,Women's 4x200m Freestyle Relay
Arezou Hakimimoghaddam,Islamic Republic of Iran,17,171.0,65.0,F,4/18/1995,Tehran (IRI),0,0,0,0,Canoe Sprint,"Women's Kayak Single (K1) 200m, Women's Kayak Single (K1) 500m"
Andras Haklits,Croatia,34,191.0,120.0,M,9/23/1977,Szombathely (HUN),0,0,0,0,Athletics,Men's Hammer Throw
Kyoko Hamaguchi,Japan,34,170.0,72.0,F,1/11/1978,TAITO (JPN),0,0,0,0,Wrestling,Women's 72kg Freestyle
Vaclav Haman,Czech Republic,26,180.0,85.0,M,7/18/1986,Jicin (CZE),0,0,0,0,Shooting,"Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
Ahmad Saber Hamcho,Syrian Arab Republic,19,168.0,72.0,M,11/25/1992,Damascus (SYR),0,0,0,0,Equestrian,"Individual Jumping, WONDERBOY"
Mostafa Hamdy,Egypt,40,170.0,73.0,M,1/18/1972,Cairo (EGY),0,0,0,0,Shooting,Men's Skeet
Sayed Abdelmonem Sayed Hamed,Egypt,23,170.0,60.0,M,9/25/1988,Cairo (EGY),0,0,0,0,Wrestling,Men's 60kg Greco-Roman
Samantha Hamill,Australia,21,165.0,52.0,F,2/23/1991,FITZROY (AUS),0,0,0,0,Swimming,Women's 200m Butterfly
Sarah Hammer,United States of America,28,170.0,61.0,F,8/18/1983,Temecula (USA),0,0,0,0,Cycling - Track,"Women's Omnium, Women's Team Pursuit"
Jonathan Hammond,Great Britain,31,186.0,75.0,M,10/1/1980,Aberdeen (GBR),0,0,0,0,Shooting,"Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
Hye Lyoung Han,Republic of Korea,26,163.0,55.0,F,1/15/1986,Seoul (KOR),0,0,0,0,Hockey,Women's Hockey
Jinseop Han,Republic of Korea,30,172.0,70.0,M,9/7/1981,Seoul (KOR),0,0,0,0,Shooting,"Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
Justin Han,Australia,20,184.0,75.0,M,8/9/1991,Heilongjiang (CHN),0,0,0,0,Table Tennis,"Men's Singles, Men's Team"
Kum Ok Han,Democratic People's Republic  of Korea,24,156.0,55.0,F,9/22/1987,Pyongyang (PRK),0,0,0,0,Wrestling,Women's 55kg Freestyle
Brendan Hansen,United States of America,30,183.0,85.0,M,8/15/1981,Havertown (USA),0,0,1,1,Swimming,"Men's 100m Breaststroke, Men's 4x100m Medley Relay"
Henriette Hansen,Denmark,30,170.0,66.0,F,4/15/1982,HILLEROD (DEN),0,0,0,0,Canoe Sprint,"Women's Kayak Single (K1) 200m, Women's Kayak Single (K1) 500m"
Jenna Hansen,New Zealand,25,178.0,72.0,F,10/25/1986,Hamilton (NZL),0,0,0,0,Sailing,Women's Elliott 6m
Jesper Hansen,Denmark,31,180.0,90.0,M,11/19/1980,BJEGSTED (DEN),0,0,0,0,Shooting,Men's Skeet
Lasse Norman Hansen,Denmark,20,180.0,73.0,M,2/11/1992,FAABORG (DEN),0,0,0,0,Cycling - Track,"Men's Omnium, Men's Team Pursuit"
Natasha Hansen,New Zealand,22,167.0,68.0,F,11/15/1989,Takapuna (NZL),0,0,0,0,Cycling - Track,"Women's Sprint, Women's Keirin"
